region,region_code,age,R-U_female,R-U_male,U-R_female,U-R_male
OR,840-41,0,,,,
OR,840-41,1,,,,
OR,840-41,2,,,,
OR,840-41,3,,,,
OR,840-41,4,,,,
OR,840-41,5,,,,
OR,840-41,6,,,,
OR,840-41,7,,,,
OR,840-41,8,,,,
OR,840-41,9,,,,
OR,840-41,10,,,,
OR,840-41,11,,,,
OR,840-41,12,,,,
OR,840-41,13,,,,
OR,840-41,14,,,,
OR,840-41,15,,,,
OR,840-41,16,,,,
OR,840-41,17,,,,
OR,840-41,18,,,,
OR,840-41,19,,,,
OR,840-41,20,,,,
OR,840-41,21,,,,
OR,840-41,22,,,,
OR,840-41,23,,,,
OR,840-41,24,,,,
OR,840-41,25,,,,
OR,840-41,26,,,,
OR,840-41,27,,,,
OR,840-41,28,,,,
OR,840-41,29,,,,
OR,840-41,30,,,,
OR,840-41,31,,,,
OR,840-41,32,,,,
OR,840-41,33,,,,
OR,840-41,34,,,,
OR,840-41,35,,,,
OR,840-41,36,,,,
OR,840-41,37,,,,
OR,840-41,38,,,,
OR,840-41,39,,,,
OR,840-41,40,,,,
OR,840-41,41,,,,
OR,840-41,42,,,,
OR,840-41,43,,,,
OR,840-41,44,,,,
OR,840-41,45,,,,
OR,840-41,46,,,,
OR,840-41,47,,,,
OR,840-41,48,,,,
OR,840-41,49,,,,
OR,840-41,50,,,,
OR,840-41,51,,,,
OR,840-41,52,,,,
OR,840-41,53,,,,
OR,840-41,54,,,,
OR,840-41,55,,,,
OR,840-41,56,,,,
OR,840-41,57,,,,
OR,840-41,58,,,,
OR,840-41,59,,,,
OR,840-41,60,,,,
OR,840-41,61,,,,
OR,840-41,62,,,,
OR,840-41,63,,,,
OR,840-41,64,,,,
OR,840-41,65,,,,
OR,840-41,66,,,,
OR,840-41,67,,,,
OR,840-41,68,,,,
OR,840-41,69,,,,
OR,840-41,70,,,,
OR,840-41,71,,,,
OR,840-41,72,,,,
OR,840-41,73,,,,
OR,840-41,74,,,,
OR,840-41,75,,,,
OR,840-41,76,,,,
OR,840-41,77,,,,
OR,840-41,78,,,,
OR,840-41,79,,,,
OR,840-41,80,,,,
OR,840-41,81,,,,
OR,840-41,82,,,,
OR,840-41,83,,,,
OR,840-41,84,,,,
OR,840-41,85,,,,
OR,840-41,86,,,,
OR,840-41,87,,,,
OR,840-41,88,,,,
OR,840-41,89,,,,
OR,840-41,90,,,,
OR,840-41,91,,,,
OR,840-41,92,,,,
OR,840-41,93,,,,
OR,840-41,94,,,,
OR,840-41,95,,,,
OR,840-41,96,,,,
OR,840-41,97,,,,
OR,840-41,98,,,,
OR,840-41,99,,,,
OR,840-41,100,,,,
